Date, Min, Max,Weekly Average minimum Temperature,Weekly  Average Maximum Temperature
3/1/50,20,39,14.33,48.42
3/2/50,8,23,14.33,48.42
3/3/50,1,17,14.33,48.42
3/4/50,-3,27,14.33,48.42
3/5/50,12,45,14.33,48.42
3/6/50,13,40,14.33,48.42
3/7/50,10,40,14.33,48.42
3/8/50,26,56,16.81,50.62
3/9/50,13,55,16.81,50.62
3/10/50,12,29,16.81,50.62
3/11/50,13,30,16.81,50.62
3/12/50,25,49,16.81,50.62
3/13/50,23,31,16.81,50.62
3/14/50,19,35,16.81,50.62
3/15/50,14,42,17.43,51.71
3/16/50,19,36,17.43,51.71
3/17/50,18,37,17.43,51.71
3/18/50,22,35,17.43,51.71
3/19/50,18,44,17.43,51.71
3/20/50,24,52,17.43,51.71
3/21/50,29,40,17.43,51.71
3/22/50,20,46,19.9,61.52
3/23/50,35,45,19.9,61.52
3/24/50,34,44,19.9,61.52
3/25/50,33,47,19.9,61.52
3/26/50,26,53,19.9,61.52
3/27/50,34,41,19.9,61.52
3/28/50,39,63,19.9,61.52
3/29/50,41,71,19.9,61.52
3/30/50,27,45,19.9,61.52
3/31/50,19,44,19.9,61.52
4/1/50,21,56,24.76,64.28
4/2/50,35,57,24.76,64.28
4/3/50,34,59,24.76,64.28
4/4/50,49,77,24.76,64.28
4/5/50,42,63,24.76,64.28
4/6/50,27,43,24.76,64.28
4/7/50,23,45,24.76,64.28
4/8/50,28,50,27.57,65.71
4/9/50,23,45,27.57,65.71
4/10/50,27,50,27.57,65.71
4/11/50,22,45,27.57,65.71
4/12/50,36,53,27.57,65.71
4/13/50,29,46,27.57,65.71
4/14/50,35,50,27.57,65.71
4/15/50,32,49,29.95,71.24
4/16/50,32,62,29.95,71.24
4/17/50,32,67,29.95,71.24
4/18/50,44,74,29.95,71.24
4/19/50,35,63,29.95,71.24
4/20/50,45,60,29.95,71.24
4/21/50,42,59,29.95,71.24
4/22/50,35,53,32.71,74.24
4/23/50,32,51,32.71,74.24
4/24/50,34,60,32.71,74.24
4/25/50,27,60,32.71,74.24
4/26/50,35,46,32.71,74.24
4/27/50,33,65,32.71,74.24
4/28/50,43,60,32.71,74.24
4/29/50,35,45,32.71,74.24
4/30/50,30,64,32.71,74.24
5/1/50,41,47,34.38,75.14
5/2/50,38,70,34.38,75.14
5/3/50,40,64,34.38,75.14
5/4/50,48,70,34.38,75.14
5/5/50,47,55,34.38,75.14
