daynum,day,min,max,min50s,max50s,min60s,max60s,min70s,max70
60,3/1,21.8,39.2,23.3,39.0,21.1,39.7,14.5,36.2
61,3/2,22.8,39.3,23.5,39.3,22.5,39.6,18.2,36.4
62,3/3,23.2,39.4,23.9,39.9,22.9,39.3,20.2,36.5
63,3/4,23.4,39.5,24.0,40.0,23.2,39.3,20.3,37.4
64,3/5,23.8,39.8,24.2,40.4,23.6,39.5,21.9,37.9
65,3/6,23.9,40.0,24.0,40.3,24.2,39.9,20.3,37.7
66,3/7,24.1,40.0,24.1,40.3,24.2,40.0,21.7,37.7
67,3/8,24.1,40.3,24.2,41.1,24.1,39.6,23.9,38.1
68,3/9,24.0,40.6,24.8,42.0,23.3,39.3,23.1,39.4
69,3/10,24.3,40.8,25.2,42.1,23.5,39.6,23.3,39.9
70,3/11,24.8,40.9,25.9,42.3,23.7,39.8,24.6,38.7
71,3/12,25.2,41.3,26.2,42.7,24.2,40.3,24.9,38.4
72,3/13,25.5,41.6,26.9,42.8,24.1,40.6,24.9,39.0
73,3/14,25.8,41.6,27.3,43.0,24.4,40.3,25.1,39.9
74,3/15,26.3,41.6,27.4,42.6,25.3,40.6,24.9,40.7
75,3/16,26.3,41.6,26.9,42.0,25.9,41.3,25.0,41.3
76,3/17,26.3,42.3,26.8,42.8,26.0,41.7,24.0,43.9
77,3/18,26.2,42.8,26.7,43.6,25.8,41.8,24.4,45.4
78,3/19,26.1,43.2,26.6,44.4,25.7,41.6,25.6,47.1
79,3/20,26.7,43.9,26.9,45.2,26.2,42.1,28.4,47.9
80,3/21,27.3,44.9,27.7,46.4,26.5,42.9,30.1,48.6
81,3/22,28.0,45.7,28.7,47.0,26.9,44.1,31.7,49.3
82,3/23,28.7,46.8,29.7,48.2,27.3,45.0,32.3,50.3
83,3/24,29.1,46.8,29.8,47.6,27.9,45.7,34.3,50.1
84,3/25,29.3,47.6,29.8,47.8,28.4,47.1,33.3,51.0
85,3/26,29.7,48.6,30.1,48.4,29.0,48.6,32.7,49.9
86,3/27,30.0,48.7,30.3,48.2,29.7,49.2,30.0,49.3
87,3/28,30.2,48.9,30.3,48.1,30.3,49.9,28.4,47.4
88,3/29,30.2,49.6,30.7,49.3,29.9,50.1,27.7,47.1
89,3/30,30.6,50.0,31.1,49.5,30.3,50.9,27.9,46.4
90,3/31,30.8,50.9,31.7,50.6,30.3,51.7,27.7,44.9
91,4/1,31.3,51.5,32.3,51.5,30.5,52.2,29.0,44.4
92,4/2,31.8,52.2,33.2,52.2,30.8,52.8,29.0,45.3
93,4/3,32.0,52.9,33.8,53.3,30.4,53.2,29.7,46.3
94,4/4,32.4,53.4,34.6,53.7,30.4,53.6,31.1,48.4
95,4/5,33.1,53.5,35.0,53.6,31.4,53.6,31.1,51.0
96,4/6,33.0,53.8,34.6,53.6,31.5,54.0,30.7,54.0
97,4/7,33.4,54.2,34.8,54.2,32.3,54.1,30.8,55.3
98,4/8,33.7,54.0,35.2,54.1,32.5,53.8,30.7,55.3
99,4/9,33.8,53.9,35.2,53.9,32.6,53.7,31.8,56.5
100,4/10,34.0,54.2,35.0,53.8,33.0,54.2,33.7,58.3
101,4/11,34.1,54.8,34.8,54.1,33.6,55.1,33.0,60.3
102,4/12,34.2,55.5,34.7,54.8,33.8,55.9,33.3,59.2
103,4/13,34.8,55.9,35.0,56.0,34.7,55.7,33.0,57.3
104,4/14,35.0,56.5,35.4,56.6,34.8,56.3,33.1,58.3
105,4/15,35.3,57.8,35.6,57.8,35.2,57.5,34.0,59.6
106,4/16,35.9,58.3,36.4,59.2,35.7,57.3,34.1,59.7
107,4/17,36.5,58.9,37.2,60.5,36.0,57.3,33.4,58.3
108,4/18,36.9,59.7,37.9,62.1,36.1,57.6,34.9,55.7
109,4/19,37.4,60.0,38.3,62.8,36.7,57.8,36.0,55.1
